statement,emotion
Me quotIf I was a puppet Id be a marionettequot Him quotI could make you a hand puppetquot Statements like this make me wish I were gay ,disgust
Then we killed her  and I felt frightened of her  ,fear
Im quite surprised Egypt only mustered a 62 turnout in their elections More than us yes but what are those 38 thinking ,surprise
peymckenzie13  good i really thought you hated me for a minute  ,sadness
HeyEllyOverHere lacrymosagod235 true story Big Black would crush me like an ant under a fat black womans Nikes ,fear
Sometimes I wish I had 300000 dollars to buy a flying car to visit all my friends and family whenever I want ,sadness
I visited a special education school The headmaster applied a policy of strict positive  negative reinforcement to the children involved Children who measured up to his standards were made a fuss of  children who didnt were ignored,anger
Bring only good vibes and spread smiles Little by little smile by smile we can change the world ,joy
Listen  Christine  you can not afford another day off  You  Ve called in sick five times in the last three weeks  ,anger
I wish I could watching familyforce5 tear it up at the wearhouse right now But cant do shows on school nights III FF5,sadness
Heartbroken  Maria had to return to the convent and remain a nun for the rest of her life  ,sadness
 I keep on meeting with difficulties in the experiment  I can hardly go on  ,sadness
Cdfu RT PhillyReem FAGGOT gt RT Malc pump it up pump it up,joy
raffaelcamaya awe yeah  we lost today ,sadness
My grandmother died during Christmas break several years ago,sadness
When Christmas holiday started I felt very joyful when I finished my last exam,joy
Rune frowned as his eagleeyed regard read the despair on her face  ,sadness
Eternityyours Je vais peut tre mme ne pas aller a Bailly pour continuer mon dploiement tiens TiensALaVie,fear
I feel physically sick after the way that ended   ,sadness
Que rabia en vsperas de la gran fiesta me pongo mala la digo a mi madre que estoy mejor pero no funciona no voy a  ,joy
Mr McWhinney  55   of Drumhark Road  Comber  died instantly when his single engined Pulsar plunged to the ground in front of horrified spectators  ,fear
 Do people get married young  ,neutral
When I was 15 I was in a depressed state and I thought  I ll do these last paintings about the end of the world and then I ll end it  ,sadness
My parents are talking about my dogs belly button ,joy
myfishkevin aggressive political tweets stirring the pot in my twitter feed takeitoutonthebenchpress haha,anger
Demain je me tape encore histoire avec mon prof pervers ,fear
I experienced this when one of my friends reported to the Headmaster that I had gone out for beer whilst the information was not true at all So I had to fight the friend before the Headmaster,anger
Taking a detour on my trip to go see my brother   ,surprise
Worry is my hearts most common form of idolatry  ,joy
Time for some zeds I think  up early tomorrow to head for Stockport for the day ,joy
Joda estoy esperando en el cuarto de mi hmna con las luces apagadas para que cuando llegue prenderle la velita  ,surprise
quotRevRunWisdom not afraid of tomorrow for I have seen yesterday and I love today  lessquot Amen This is a truely great sayin,fear
Power tools coming from the hip  gunslinger style  or British Gas portraying the contented family enjoying the warm glow of its new central heating  ,joy
Hey  Ted  What are you up to this Friday  ,neutral
My aunt is coming from  for a visit during   What a nice that will be,surprise
When abroad while driving a car along a dark winding road,fear
weer thuis nu nog snel een gedicht maken en kadootjes inpakken voor vanavond ,surprise
 I am very happy with the way I am playing but I accept that he believes he should be England s flyhalf  ,joy
 Dance class  I dont know how  ,neutral
alLISTENc smoothies are the best at any time any temperature We have no smoothie availability at lehigh ,sadness
 Sure  ,neutral
Met some amazing people in weekly meditation tonight and received an unexpected gift from my teacher   ,joy
Neil Kinnock was happy that his deputy should spell out his commitment to equality as Labour s objective  ,joy
Moms taking my phone when I get home ,joy
Another day downI am closer 2 buying my N9  ,joy
When I finally got a job after days of wondering whether I would be hired or not and counting on the money that it would bring,joy
Geographical moves have been found to be third most important in a list of ten precipitants concentrated in the month before the onset of depressive symptoms  in forty consecutive clinically depressed patients  ,sadness
 Weve never sold this much before  our growth this year has been phenomenal  We have captured 8  of the market  up from last year by 120   Our strategy is working  ,joy
borsato Had je deze uitslag verwacht gister Wij waren thuis in shock Wij dachten Sharon door Bart singoff en naar huis  ,surprise
Our greatest fear is not that we cant our greatest is that we can but we havent and are not doing anything with that potential,fear
Super pissed Tore my favorite fucking Polo today ,sadness
TheMz If Im lucky I remember to trim my ends once a year ,sadness
The despairing  faithless  gaping  horrified wife looked down at her lover  and knew that he was dead  ,fear
living in my room so I dont infect anyone else ,joy
kid peed his pants at work ,joy
 Give over  will yer   pleaded the disconsolate convener  slapping jam on his butty  ,sadness
Amen quotRunningQuotes Do the work Do the analysis But feel your run Feel your race Feel the that is runningKara Goucherquot,joy
This Duke game is going to give me a panic attack and it hasnt even started holldoll2 ,fear
 Well  its a special day  They say if you survive the first year  the rest is smooth sailing  ,joy
MackKingman love yoult3 too bad you didnt go to practice on saturday i was actually there ,sadness
Thought Id got away from all the draining  lot by coming off facebook but it seems the clan have taken twitter on ,joy
Most recently when the chairman at the New Zealand Rugby Union announced that the All Blacks would accept the invitation of South Africa to play rugby in that country,anger
Five minutes went by as she reflected that Rosemary must be feeling as miserable as Travis  then  checking to see that Travis was all right as she passed  she went to bed  ,sadness
jvkeboxhero Thats the best you got Good luck getting me in a cage Im little but mighty I can take you,sadness
Wa nakapasar akong neighbor sa civil engineering exam  ,sadness
its Thursday which means a trip to tesco ,joy
I was given an exam which I thought did not measure at all my ability or my knowledge of the subject,anger
 Absolutely not  Im not a thief  ,anger
Euphonik RT BonangM My honeys birthday in 5 days  ,joy
When people suck on their teeth lt ,disgust
When finally I found a place to live I felt relieved predicting changes in my life and I became happy,joy
Listening to Christmas music from michaelwsmith  There is no one that captures the splendor of the season like he does xmasmusic,joy
One day was a wonderful but sad movie It took them 16 years to see what was right in front of them and it was too late ,sadness
My lifepartner who was drinking more and more spoke about kicking the cat  He had never done anything of the kind but I knew that he would do so one day without thinking about it,anger
 Why  ,neutral
When I woke up at night to find a fire spreading towards the bed rooms  I was very frightened as I realized that I faced death,fear
fatinsyx you must have had fill yrself with food Okay so gd night if ya  still havent tell Right or Left  side  ,surprise
 Believe it or not  the company I worked for closed down  so I  m out of a job  ,sadness
Surely were too young for this  RT 2LemonadeGal imalazymom oh my mom is helping me color mine tomorrow ,sadness
Non mi hanno consegnato labete questanno  TT  e io ora cosa faccio senza albero di natale piango,sadness
It is not uncommon to hear of old women who are cross when asked to perform domestic tasks in residential care  ,anger
kyronprince AMEN amp you can tell Him ANYTHING He is more than anxious to Grace u with spiritual maturity amp set u on your path ,joy
Perfect day to forget my umbrella ,joy
He broke off as Jim Miller let go a Indian whoop of relief and delighted grins spread across the faces of everyone in the group  ,joy
In the end  the poems must be read as expressions of sheer delight in friendship  ,joy
When somebody broke into our home one night when my mother was out and my sister and I had just gone to bed,fear
Aaahhh Im losing followers OO annd i finally was able reach a 100 ,sadness
When a guy says he needs a girl to be happy ,sadness
Solo en la habitacion de GonVonG esperando a que me deje salir XD ,surprise
 Stop it  Teacher doesnt treat me any different than she does everyone else  ,anger
great that I have to go to the job centre whilst in agony with my neck ,joy
Yes  I d like to declare a small case of French flu  a dangerous fondness for Flaubert  a childish delight in French roadsigns  and a love of the light as you look north  ,joy
got back from palatka in just enough time to get in my car and go to class,joy
 Im sorry  but thats our only available time  ,sadness
She had smiled and raised rather amused brows at the stories that tumbled in then of Fergus s progress  ,joy
She was particularly concerned when  shortly before her wedding day  she discovered that Prince Charles planned to give his friend a bracelet inscribed with their nicknames  Fred  and  Gladys   ,fear
Waiting to start the last show ,sadness
2   amp  make pleasant wonderful memories right now xArecovery survivors stopabuse ptsd livefree,sadness
Angry with my brother who was making fun of me teasing me,anger
For a moment Rob looked rather embarrassed  ,shame
 Make it three cups  Here comes Harry  ,joy
The boy was broken hearted and inconsolable  ,sadness
 Wow  a remote car model and my favorite brand  I really like it  That is so nice of you  ,joy
 Yes  the Forrests experience can encourage the people in trouble  ,joy
Throat hurts headache runny nose I would like to stay in bed please Or I could go to work for 12 hours ,joy
I came across a friend with whom I had lost touch for a long time,joy
I felt indignant at this casual assumption  ,anger
thought havin everything would ease my mindonly if u could read my mindmy god im scarred i have tattoo tear of ,joy
LovePWG I live about an hour from Burbank tooMaybe I will purchase today and get it by Fri so I can watch it before ,fear
Several hours passed while he sat there  knowing that Maud would be inconsolable at having missed a charity dinner  ,sadness
having practically no likes and comments on your profile picture and feeling like a loser ,sadness
Only if I had a time machine I would have prevented that fight which ruined my life ,sadness
Amelia does shout a bit  singing with Kelly makes it more obvious Great stage presence though great together  surprise,surprise
So i saw dis cute gurl sittin infront of a range rover and pikin her nose lyk criously ,disgust
Pumped for rehearsal of our fabulous Holiday Pageant performance quotChristmas is For Everyonequot next Saturday 1216 in Chelsea orencecaro ,joy
 He quit ,neutral
The bouncer s glee  the masculine grunts in the background of  Quite right  too   were a timely reminder of surviving and thriving misogyny  and of the petty power struggle it engenders  ,joy
 lets GO  2 make GOD  bc we can only SINCERELY BE  bc of  2 the world  JOY 2 you  O fb,joy
covergirl2013 they are nothing but a one sided news cast anyway so thats expected,sadness
He was very frightened now  ,fear
Livid with rage  he grabs their cameras and rips the film from them  tearing it to shreds and throwing it in the fire  ,anger
Success in university entrance examination,joy
Twitter is it wrong to feel  for special friends that I can never revive   tears etc,sadness
Tooday passed pretty quickly ,surprise
Standing in a crowed shop or in a closed room with too much people in it This gives me a fearful experience,fear
KeediKardashian Cynthia and her sister getting into it over Peter She just need to drop that leech ,disgust
 Sorry  Im very near sighted  ,sadness
I feed on other peoples energy one persons not having fun neither am I ,sadness
Another shitty and rainy monday morning ,joy
I will NOT go to hed until I have my eyebrows threaded and my Mani Pedi As a matter of fact I will be sleeping on the chair ,joy
wat ben ik tog blij met de 3knutselbakken van mn zusterr   ,surprise
WHAT IN THE NAME OF MOSES IS THE POINT WITH IRONING SHIRTS WHEN THEY GET ALL MESSED UP IN THE SUITCASE ANYWAY  YBF8,anger
Just wish little mix would fucking wear heels Who the hell wears dresses with high tops ,anger
Met a fellow Cascadian at the store She recognized my KEXP pin NWexpatriates fb,joy
FrostyWampa  bro text me when you get close to home ,surprise
SHIT I ran outta fruity pebbles Dam   ,sadness
When I was selected to study here at university,joy
 Thats really interesting  ,joy
First Christmas Film this year The Golden Compus O the ,joy
 I was in a comfortable place  so really  it  s no problem  I am happy to see you  Did the rain hold you up long  ,joy
IMPRESSED just this side of awe as I am by the Department of Transport and its fearless tackling of such problems as juggernaut lorries and EEC regulations  I must nevertheless confess some disquiet about a recent plan  ,fear
When you are far away from relatives and friends I feel sad for my early years for the freedom and the carefree years of childhood,sadness
 Two carats  ,neutral
Biliske07 wow your girlfriend is pretty   ,surprise
ndamukongsuh What you did today at the game was absolutely disgusting Youre going to lose the state of Nebraska  ,disgust
Cheers to Dec 1st I can finally keep real butter in my fridge eat the skin on my chicken amp no more battles over cheap Ikea furniture ,joy
Jus sum dirty yarnz naw RT adayola RT Hollaskitty1 Fck u bitchnd ur p hole,anger
Hello  ,neutral
Finding money in a pear of pants ,joy
RAGE QUIT CURSE YOU IPOD ,anger
 All right  ,neutral
Even as he spoke  she saw the dawning horror in his eyes  ,fear
 June loth  ,neutral
I dont think anyone was planning to tell me there is going tp be a Dj at my house tomorrow  Sarcasim,joy
Derby County s grief at the foot of the first division continues as they went down two one at Crystal Palace  ,sadness
I would love for the NCAAs self regulating ass to dig into all the other big fball programs and see what they find ,surprise
When my grandfather died I saw my grandmother crying against my aunts shoulder I had never seen my grandmother cry before,sadness
everythings coming together  let the countdown begin 8 days left ,surprise
If he was 8 yrs old LeBron would NBADailyDose NepeanTX Now that Shaq is retired no active NBA player has dunked on Antoine Carr ,sadness
I keep getting this temptation to tweet quotI CANNOT FEEL MY LEGSquot when I obviously can Why this compulsion exists I have no clue ,sadness
When they denied a job to a person that I propsed giving political reasons that has nothing to do directly with the professional level,anger
Im not even sure the words to express how I feel about the  game Like Im speechless lordhelpme,anger
 Im sorry to hear it  Whats wrong with her  ,sadness
NarcisseBreed na let me stop playin lol I remember I had to be carried to the car last summer lol Smh ,sadness
Dont believe the Lies  look me in My eyes and please dont Be scared of Me jtm,fear
TEARS ARE AH FORM OF PROTECTIONIS NOT MY DIRECTION,sadness
When my friends tried to discriminate against my friendship with certain other friends which they thought was improper,anger
Of coursethe one weekend I have to spend writing an important papertheres an ASU game andmore importantlyHarry Potter Weekend ,sadness
kennyflorian i guess after surviving getting his balls knocked in on PPV rape and murder just didnt seem as violent ,anger
Wow Dan I was just thinking about Tweeting you a Happy Thanksgiving gojunebug Hope you have an Awesome Day    xo,joy
Do you like cooking  ,neutral
I feel sadness when I only imagine that I could lose a close person Some time ago I lost a man whom aI greatly respected,sadness
awkward moment when youre wetter before you have the shower  ,sadness
My wife has just started using twitter amp shes telling me who I should be following because they are people I quotneed to listen toquot ,joy
Back to the otter box ,joy
reflectin on the grace of God in my life peace freefromworry,joy
of course my laptop isnt working so OBVIOUSLY i have ALREADY found out 2 thing that happen in  glee ,joy
 Which man  ,neutral
Break Remember your best friend as a kid Bet you made some mischief Take a moment to remember LJB,joy
One of jareds little cousins friends just told me im jareds girlfriend  does he know something I dont ,surprise
They stared at one another in dismay  the sad  small wickedness of their friends and neighbours strewn around their minds like dirty confetti from a party long past  ,fear
I wouldnt mind the thunderstorm its just that my dog is petrified of thunderamp barks at it There is only a thin wall seperating us ,joy
Anticipating my death Its been a nice life ,fear
 How about tomorrow afternoon  ,joy
KimKardashian Happy Holidays to you Kim You deserve happiness like anyone else   Love Laughter,joy
She didnt look quite so indignant as she d looked before  ,anger
I cant sleep and having class at 9 tomorrow isnt going to go over too well Especially knowing Im working right after class ,joy
 I feel like maybe I am coming down with the flu  ,sadness
Mensen pingen met een BB wat niet van hun is whahahah ,sadness
cut on the back of my leg that has been bleeding since 530 am what is going on  hurtslikehell,sadness
Hoje meu dia vai ser study study and study Tenho que me aliviar pelo menos geo e hist Serio ,fear
Watch this  press conference on  amp this guy squirmming when asked about the termslength of the  contract ,fear
irishduke2 we are in the same house why could you not just say this to my face oh thats right you have no balls ,sadness
But I remember the excitement in my children s faces  ,joy
I was furious when the teacher pointed out in class that I was the quietest girl in class,anger
 Que frio hace en la calle  El paseo con de hoy me a gusttado ,joy
great parade in hawaii  gna be sad leaving lando behind tmrw but i cant wait to get home  ,sadness
LMAO calling me up for a game last minute regretcuttingme,surprise
Very sad segment on homeless families on 60 Minutes tonight tears,sadness
When a discussion resulted in an insult which in my opinion was not justified,anger
Might be pulling my first allnighter as a grad student tonight ,joy
The  which have always  before me and filled me with are goodness beauty and truthAlbert Einstein,joy
just saw a black kid on Charlie Brownthe i feel right now,joy
is the cheapest room in the house I would like 2 see u living in better conditionsHafiz of Persia atafyfe afraid,fear
 When  ,neutral
One insider said last week   The sheer anger of people has taken everybody by surprise  ,anger
 Its a nice cinema  isnt it  ,joy
Break Riding in a hot air balloon as you rise higher your frequency goes higher amp you feel clear amp light LJB,joy
 It was written when he was ill  telling the girl how ashamed he was that she was pregnant  ,shame
Fleet Foxes Kanye tickets sorted for Christmas holidaysFuture music and Bon iver tickets sorted for work holiday to Perth next year,joy
Everyone will be sad at their departure  ,sadness
thought Id be sick of databases well coding certainly got old fast but seeing the other students ideas have made it enjoyable ,surprise
My nephew iz a lil nasty wat kids lick bottom of shoes ,disgust
I felt fear when I sat for one of my exams Though my fear was not quite justifiable I still remember about it,fear
 Why  ,neutral
Rewatching Harry potter 7 part 2 ,sadness
So when practice was over I ran to the car all excited to show my dad my superb grade in geometry and he says do better ,sadness
 You are right  Maybe we should work out a fitness plan and start to do more exercise  Sitting around in the office all day is no way of keeping fit  ,joy
Entering railway station toilets The same sense of trepidation you feel taking your seat in the home end for an away fixture ,fear
Be wise as a serpent yet innocent as a doveWisdom comes from above God is good  ,joy
Just pulled a  w my film lecture homework Now we are watching the episode where Ellen said she was gay and some Glee episode ,joy
Get to go to school late tomorrow with a numb mouth ,joy
I can say that at the end I actually liked breaking dawn ,surprise
 Ive tried  but I cant stand the bald man talking so loudly in the program  ,neutral
My feelings towards wouldbe inlaws for their participation in recent broken relationship,anger
I had a very horrible dream one night I dreamt that I had fallen off a very crowded train,fear
My stupid vevo app wont load Dx ,sadness
Amen Im better than that RT youngduce305 TasteMySw33tz dont never let a bum steal your ,joy
When on holiday in Greece I called my best friend she told me she passed the examinations and that she had been admitted to the study for speech therapy,joy
I missed  tonight  I hope the songs are on  tomorrow so I can catch up before two people go home nervous,sadness
 I got the message  Im quiting  ,anger
Really not liking myself right now I hate fucking up Fuck ,anger
You thought you had a friend w benefits but really youve been in a committed relationship for 2 months ,surprise
I thought ppl wanted to be in twitter jail ,joy
The housing council asked the city to cut 40 linden trees so that the inhabitants of the lower floors would have a view to the sea,anger
Watching Citizen Kane Its  on my movie list I didnt expect it to be funny and yet I am laughing ,surprise
youd think you wouldnt be able to experience a place in just 4 months but when I take a look at my TO memory wall she looks full ,joy
quotPattyRankin DrCarolineLeaf quotWell that sounds no bueno Discipline it isquotLOL YOU ROCK Thats a serious blackFriday laugh ,joy
Its such a cock tease to win the heisman and listen to less than impressive speakers,sadness
Guess what Its Thursday and I have 2 tests today ,joy
Nevertheless  no writer  however selfsufficient  writes without a thought of an audience  and Tolkien was happy to discover anyone who could appreciate what he was up to  ,joy
Faith is the voice of God Fear is the voice of satan We cant listen to two voices To do so makes us doubleminded thebishop7  ,fear
Yet again stupidly early for work ,joy
where the Man United fans at tho lol lol feel for Man City tho,sadness
A day full of homework ,joy
The crowd was wild with excitement  ,joy
has ANYONE received their Dec birchbox the suspense is killing me  i already saw the sneak peek of the hot pink gloss  ,surprise
Sick sick sick But have to go work my last 4 hours at nine west ,joy
Because of what had happened  some of her excitement at the thought of seeing Czechoslovakia had ebbed  ,joy
When I had to leave home to go to some other place to study,sadness
A blackhaired woman with a long  sad face was inside  ,sadness
When I try to get closer at a person and she misinterpreted me,sadness
treama borcki will b here PM 2212 but telling mum she wont b here for bday dinner ,surprise
ooh look at me i keep copy and pasting jokes off websites because im a dick ,anger
Finding out about the university does not have enough foreign currency to buy the yournals in your reference list,sadness
Family reunion weird people you have never met saying I remember when you were a little baby ,joy
Hey friends stop drifting away from me  I miss you all ,sadness
I have a slight irrational of disappearing or going into a fugue state somewhere GCcal Twitter and now Foursquare help me wthat,fear
Off to engulf myself in some physics notes ,joy
When he told me I had to work overtime  that was it  ,sadness
Bitches like you me straightup bye man BadAzzLuck voice,disgust
Two fierce eyes glared at the terrorstricken sailors  ,fear
After a lunchtime excursion around the Newcastle shops I can only assume that theres a lot of people without mirrors in their house ,fear
JBARsodmg Think U Lucky  in France We Dont Got No Thanx Giving  OGOD,sadness
 Yeah  you  re a pretty big guy  I play goalie  myself  ,neutral
I received a letter from my college telling me that I would not be allowed to sit for the exams because of my low attendance in class and the bad experience in the terminal exams,fear
 Youre right  He sure is  ,joy
Got our IDsmeans waiting an extra twenty minutes  to get inside ,joy
I woke up in a different set of clothes I went out last night in ,fear
The music has started  ,joy
At having an argument with a stranger in the street,anger
Experiencing all stages of grief this finals week  bargaining depression acceptance ImGoingToFail,anger
The anger in her voice took him aback  ,anger
FIFA tournament with the boys Milan is now out in the semifinal to City Eternal sadness  ,sadness
I was driving near my girlfriends house and I decided to keep going because it was late and I would be back in the next few days anyway The next day she was killed in a road accident,sadness
When someone I love told me that she did not love me anymore and that she wanted all the snaps that she had given me in exchange for the ones I had given her,sadness
Nothing like finding out that  totally changed the way it does accessgroupsNAT from 82 to 84 ,surprise
When he saw this he was further enraged and started towards the seer with an axe  ,anger
Its done I ordered a Kindle Im excited to get my read on What are you excited about this Holiday season ,joy
Never woulda guessed this is how today was gunna go The way my morning went i thought i was fucked a lovely ,surprise
I was seriously injured in a road accident The very first steps I took with only one crutch to support me I felt so good I enjoy being alive,joy
She cackled  delighted with the queasy mixture on the plate  hot brown coffee lapping at the pale wedge of sugared pastry  ,joy
Tomorrow is black Friday and I work retailima be so tired BUT I will shake it off to go see  ,joy
Lisa7nine COMEDIEDEPARIS On va plancher sur notre BIG de Janvier pour nos fans facebook  Ah ah,surprise
Cannibalism is not a crime People STOP THE HATE  Love Cupcakes,joy
Without my permission my son had made popcorn after coming back from school  The consequences were a spoilt kettle and chaos in the kitchen but what could have happened with the hot grease ,anger
Merry Christmas to all my tweet peps  10 days to go home yay cant wait  happiness,joy
When our cat was killed in a caraccident I was very angry at the driver of the car because he didnt take enough care,anger
I had to go to the dentists When he touched my tooth with his drill I was terribly afraid of the pain I would feel any moment,fear
My delight at everything I saw was beyond bounds  gardens were allotted my sister and self  there was the canal to fish in  a pony to ride  besides animals of different kinds ,joy
You know I pop bottles bc I bottle my emotions atleast I leave out in the open ,fear
Happy manga day  asik Area no Kishi akhirnya nongol juga ,joy
 I doWe havent watered them for quite a few days  ,neutral
Hey John  nice skates  Are they new  ,neutral
When I came across an old friend whom I had not seen for a very long time,joy
 Its hot  ,neutral
What upsets you  ,neutral
I felt very sad when I lost my three Kwacha at civo Stadium when Sam Mangwana was playing some Rumba records That was not what I expected I wanted some Disco records,sadness
Sebastian Village is pissing me off I still dont have my mailbox key ,sadness
Phone just flipped out at me for shutting off its charging source Looks like the power is out ,joy
The severity of your situation doesnt change His statusHe is still God Christfollowbac      ,joy
Yaaaay let me join list of people tweeting about the snow but might I add that the snow started right as I started putting up my tree ,joy
Alright everyone Im off this early today Happy thanksgiving    Thankful,joy
 I cant open the door  ,neutral
 Thats exactly the way I feel  ,joy
Wondering if I shouldnt eat anything tomorrow to build the suspense and shock my stomache into a surprise Thanksgiving Haha ,surprise
Im so afraid of viruses now why did he have to watch this video ,fear
ghally08 ha just watched it this morning Decent fight but AmirKingKhan defo deserved to lose Now hes making shit excuses ,surprise
A woman worth your its worth your effort,anger
 What we are seeing now is a public revulsion against violence in society which is feeding through to a desire for greater sensitivity by programme makers   he said  ,disgust
Tomorrow is gonna suck ass ,joy
How time flies  ,joy
 I was sick  ,neutral
When a friend of mine was trying to make a fool out of me,anger
The hurt you feel when you see the hurt in someone elses eyes  ,sadness
We shall find reason for disquiet about this argument  ,fear
YStrahovski NINE more days till the end of chuck forever,sadness
well off to 5 different places to get 3 different things for  ah the nature of lastminute holiday shopping ,joy
If you let and doubt control youthey will demolish your future,fear
When she was ecstatic  and she was often ecstatic  ecstasy flew from her face like the sun from a mirror  ,joy
 I am desolate that Anthony has died  ,sadness
He felt increasingly irritated and despondent  ,sadness
So excited to give  their present for Christmas   ,surprise
 final tomorrow Class amp Stratification i need entertainment Im tired of studying ,joy
Some of the house servants were missing and everybody looked frightened  ,fear
Going to work half asleep ,joy
 no  ,neutral
MikeKnoll22 a worth it what are we doing over break Taco bell,surprise
 It costs more than you think to run a carespecially when there are so many things wrong with it  ,anger
His face darkened with anger  ,anger
The sweat of moving packs of eighty pounds through the crush of bewildered  nervous men  ,surprise
Ok se me acaba de subir solo el volumen del equipo de musica y se cayo el trapo amarillo que estaba en la mesada ,fear
Holding and meeting my baby cousin for the first time made me feel a little better lt3,joy
Let the real Christmas season begin Im watching my very favorite Christmas movie quotOlive the Other Reindeerquot ,joy
is momentary madness Horace iFollowback,anger
I was ready to do this breathing machine one last time then go to bed but then MeganFernandez1 reminded me about reading plus  ,joy
Romarley  tells us that weve sacrificed more than others tells us its time 2 worry about the future xAxALuke 93,fear
Scrambled egg on toast after work at nans winner,joy
When I was accused of having planned my friends outing at secondary school boarding as we were not allowed to go out,anger
Parents evening tomorrow night ,joy
 My mother just passed away last Tuesday  ,sadness
welllllp one more free daynight tomorrow then serving greedy asses fridaysunday ,joy
Shit MY professor used The First World Series as the example topic for the paper Im writing so I cant use it ,sadness
 Again  ,neutral
14 hour work day ,joy
I think Im the only girl whose mom wont let her go shopping on Black Friday  ,joy
Mad at you Mad at you Mad at you Mad at you Mad at you Mad at you Mad at you Mad at you Mad at you ,anger
natttiep yeah I GUESS I can wait And Im leaning towards McNattie Ps You no longer rhyme with me ,sadness
It should be a sin to play Frosty the Snowman when there is no snow outside ,anger
 is short   is rare  is bad DumpIt Fear is awful FaceIt Memories are sweet CherishIt,anger
When I was not chosen to go to your English lectures ,sadness
CROTCHEDMTN Whats wrong is theres no SNOW in the forecast Nooooooooo My new skis will be ever so sad   ,sadness
You gain   and confidence by every experience in which you really stop to look in the face E Roosevelt,fear
getting ready for work then working till 330 ,joy
wow i love having a house at the end of a road with high foot traffic just had to remove a caesar salad off my front pathway ,disgust
soo this growing natural isnt tht bad but ima change my hair up ,surprise
I hate when you pass a save point in a game and dont save because you think youll be right back and then you die ,anger
Best okee boxjes komt wel een beetje radiogeluid uit Maar hij is dan ook 15 ,surprise
I remember being sad whe my aunts child died 2 days old,sadness
RevRunWisdom not afraid of tomorrow for I have seen yesterday and I love today less,fear
I really became sad when mother passed away while I was very young,sadness
A classmate damaged ma iron and tried to hide the damage,anger
Im physically incapable of staying up any longer so I guess Ill be finishing this paper in the morning ,joy
LEE SHARPE last night relived the anguish of discovering he had a disease which he feared could not only end his career  but kill him  ,sadness
Time to study for human anat ,joy
all of my days are in your hand oh God  ,joy
y Im single and the fact no one has stole my heart,anger
Dat Awkward Moment Wen Ur Wit 4 Of Ur Friends At Da Movies amp Wen Da Movie Cums On All Dem Start Making Out And Ur Left Out ,sadness
A woman wit dum is deff worth sum Effort,anger
kevinHulsmans Next year at farnese vini gt good luck next year,surprise
Randy get your historical facts right There are history majors in the audience ,surprise
I went home late one evening and saw that the security lights were off  I got inside the gate and just then I realized that the dogs may be outside,fear
